Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,15794
design__instance__area,66063.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008429965819232166
power__switching__total,0.0002510491758584976
power__leakage__total,6.70442403816196E-8
power__total,0.0010941128712147474
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2637789783483189
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26457911610479573
timing__hold__ws__corner:nom_tt_025C_1v80,0.3095295773969244
timing__setup__ws__corner:nom_tt_025C_1v80,13.613115464641117
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.309530
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.285522
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,97
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27143441040882965
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2731275005692669
timing__hold__ws__corner:nom_ss_100C_1v60,0.9028604786016163
timing__setup__ws__corner:nom_ss_100C_1v60,10.563100915167967
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.902860
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.563101
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26028704928135815
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2609123546620875
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10761047912897229
timing__setup__ws__corner:nom_ff_n40C_1v95,14.342390792076428
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107610
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.999916
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,119
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25975858310669053
clock__skew__worst_setup,0.26017225221736523
timing__hold__ws,0.10601092526100511
timing__setup__ws,10.492793597654499
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106011
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.492794
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,5.52 10.88 329.36 214.88
design__io,45
design__die__area,75602.5
design__core__area,66063.4
design__instance__count__stdcell,2390
design__instance__area__stdcell,18445.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.279205
design__instance__utilization__stdcell,0.279205
design__rows,75
design__rows:unithd,75
design__sites,52800
design__sites:unithd,52800
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,51
design__instance__area__class:inverter,191.434
design__instance__count__class:sequential_cell,263
design__instance__area__class:sequential_cell,6910.38
design__instance__count__class:multi_input_combinational_cell,807
design__instance__area__class:multi_input_combinational_cell,7041.75
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,13404
design__instance__area__class:fill_cell,47618.2
design__instance__count__class:tap_cell,962
design__instance__area__class:tap_cell,1203.65
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,975.675
design__instance__displacement__mean,0.384
design__instance__displacement__max,14.68
route__wirelength__estimated,28578.9
design__violations,0
design__instance__count__class:timing_repair_buffer,255
design__instance__area__class:timing_repair_buffer,2469.87
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,42
design__instance__area__class:clock_buffer,578.054
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,10.0096
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,167
global_route__vias,9486
global_route__wirelength,53136
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1433
route__net__special,2
route__drc_errors__iter:0,328
route__wirelength__iter:0,31388
route__drc_errors__iter:1,41
route__wirelength__iter:1,30977
route__drc_errors__iter:2,48
route__wirelength__iter:2,31053
route__drc_errors__iter:3,2
route__wirelength__iter:3,31020
route__drc_errors__iter:4,2
route__wirelength__iter:4,31022
route__drc_errors__iter:5,0
route__wirelength__iter:5,31022
route__drc_errors,0
route__wirelength,31022
route__vias,9838
route__vias__singlecut,9838
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,221.07
timing__unannotated_net__count__corner:nom_tt_025C_1v80,45
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,45
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,45
