Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,15794
design__instance__area,66063.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008430032175965607
power__switching__total,0.0002519020054023713
power__leakage__total,6.70442403816196E-8
power__total,0.0010949722491204739
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26429323366786944
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2667476592889754
timing__hold__ws__corner:nom_tt_025C_1v80,0.3095256361050755
timing__setup__ws__corner:nom_tt_025C_1v80,13.602362288209687
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.309526
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.281762
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,99
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2720738988890997
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2763781226550007
timing__hold__ws__corner:nom_ss_100C_1v60,0.902890454624129
timing__setup__ws__corner:nom_ss_100C_1v60,10.556426254155149
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.902890
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.556426
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2608424383651344
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26259611894885415
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10762235851567174
timing__setup__ws__corner:nom_ff_n40C_1v95,14.334907000500378
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107622
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.996859
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,119
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2603190237053717
clock__skew__worst_setup,0.2615212564971641
timing__hold__ws,0.10602014011237011
timing__setup__ws,10.485535403403434
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106020
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.485536
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,5.52 10.88 329.36 214.88
design__io,45
design__die__area,75602.5
design__core__area,66063.4
design__instance__count__stdcell,2390
design__instance__area__stdcell,18445.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.279205
design__instance__utilization__stdcell,0.279205
design__rows,75
design__rows:unithd,75
design__sites,52800
design__sites:unithd,52800
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,51
design__instance__area__class:inverter,191.434
design__instance__count__class:sequential_cell,263
design__instance__area__class:sequential_cell,6910.38
design__instance__count__class:multi_input_combinational_cell,807
design__instance__area__class:multi_input_combinational_cell,7041.75
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,13404
design__instance__area__class:fill_cell,47618.2
design__instance__count__class:tap_cell,962
design__instance__area__class:tap_cell,1203.65
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,975.675
design__instance__displacement__mean,0.384
design__instance__displacement__max,14.68
route__wirelength__estimated,28578.9
design__violations,0
design__instance__count__class:timing_repair_buffer,255
design__instance__area__class:timing_repair_buffer,2469.87
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,42
design__instance__area__class:clock_buffer,578.054
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,10.0096
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,167
global_route__vias,9488
global_route__wirelength,52978
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1433
route__net__special,2
route__drc_errors__iter:0,362
route__wirelength__iter:0,31272
route__drc_errors__iter:1,65
route__wirelength__iter:1,30922
route__drc_errors__iter:2,60
route__wirelength__iter:2,30919
route__drc_errors__iter:3,2
route__wirelength__iter:3,30908
route__drc_errors__iter:4,2
route__wirelength__iter:4,30908
route__drc_errors__iter:5,0
route__wirelength__iter:5,30907
route__drc_errors,0
route__wirelength,30907
route__vias,9801
route__vias__singlecut,9801
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,223.23
timing__unannotated_net__count__corner:nom_tt_025C_1v80,45
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,45
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,45
